Month,"Monthly sunspot number, Zurich, 1749-1983",a1,a2
1757-12,33.5,35.58888889,21.07901235
1758-01,37.6,36.4,23.66666667
1758-02,52,37.24444444,26.18024691
1758-03,49,38.78888889,28.4617284
1758-04,72.3,42.81111111,30.52345679
1758-05,46.4,48.06666667,33.01975309
1758-06,45,47.52222222,35.96790123
1758-07,44,48.11111111,38.43209877
1758-08,38.7,49.38888889,40.58765432
1758-09,62.5,46.5,42.65802469
1758-10,37.7,49.72222222,43.87037037
1758-11,43,49.73333333,45.35061728
1758-12,43,48.73333333,46.7382716
1759-01,48.3,48.06666667,47.84320988
1759-02,44,45.4,48.42716049
1759-03,46.8,45.13333333,48.1308642
1759-04,47,45.33333333,47.8654321
1759-05,49,45.66666667,47.55679012
1759-06,50,46.81111111,47.14320988
1759-07,51,45.42222222,47.17777778
1759-08,71.3,46.9,46.7
1759-09,77.2,50.04444444,46.38518519
1759-10,59.7,53.84444444,46.5308642
1759-11,46.3,55.11111111,47.17283951
1759-12,57,55.36666667,48.25185185
1760-01,67.3,56.5,49.38888889
1760-02,59.5,58.75555556,50.62962963
1760-03,74.7,59.92222222,52.08395062
1760-04,58.3,62.66666667,53.54074074
1760-05,72,63.47777778,55.45679012
1760-06,48.3,63.55555556,57.29876543
1760-07,66,60.34444444,58.8
1760-08,75.6,61.04444444,59.52222222
1760-09,61.3,64.3,60.18148148
1760-10,50.6,64.77777778,61.17407407
1760-11,59.7,62.92222222,62.09382716
1760-12,61,62.94444444,62.55679012
1761-01,70,61.42222222,62.89259259
1761-02,91,62.72222222,62.75432099
1761-03,80.7,64.83333333,62.67037037
1761-04,71.7,68.43333333,62.81234568
1761-05,107.2,69.06666667,63.71111111
1761-06,99.3,72.57777778,64.60246914
1761-07,94.1,76.8,65.52222222
1761-08,91.1,81.63333333,66.85802469
1761-09,100.7,85.12222222,68.93703704
1761-10,88.7,89.53333333,71.40123457
1761-11,89.7,91.61111111,74.52469136
1761-12,46,91.46666667,77.7345679
1762-01,43.8,87.61111111,80.69382716
1762-02,72.8,84.51111111,82.82469136
1762-03,45.7,80.68888889,84.54074074
1762-04,60.2,74.73333333,85.44197531
1762-05,39.9,70.96666667,85.21234568
1762-06,77.1,65.27777778,84.02716049
1762-07,33.8,62.65555556,81.82222222
1762-08,67.7,56.55555556,78.83580247
1762-09,68.5,54.11111111,74.94074074
1762-10,69.3,56.61111111,70.79012346
1762-11,77.8,59.44444444,67.34567901
1762-12,77.2,60,64.56049383
1763-01,56.5,63.5,62.2617284
1763-02,31.9,63.08888889,61.01358025
1763-03,34.2,62.2,60.1382716
1763-04,32.9,57.43333333,59.7962963
1763-05,32.7,57.33333333,59.21604938
1763-06,35.8,53.44444444,59.30246914
1763-07,54.2,49.81111111,59.22839506
1763-08,26.5,48.13333333,58.47283951
1763-09,68.1,42.43333333,57.21604938
1763-10,46.3,41.42222222,55.26419753
1763-11,60.9,40.28888889,52.81111111
1763-12,61.4,43.51111111,50.27777778
1764-01,59.7,46.53333333,48.20123457
1764-02,59.7,49.51111111,46.99012346
1764-03,40.2,52.51111111,46.12098765
1764-04,34.4,53,46.01728395
1764-05,44.3,50.8,46.37160494
1764-06,30,52.77777778,46.66790123
1764-07,30,48.54444444,47.81728395
1764-08,30,46.73333333,48.60864198
1764-09,28.2,43.3,49.32469136
1764-10,28,39.61111111,49.30123457
1764-11,26,36.08888889,48.53209877
1764-12,25.7,32.34444444,47.04074074
1765-01,24,30.73333333,44.8
1765-02,26,29.57777778,42.32592593
1765-03,25,27.54444444,39.96790123
1765-04,22,26.98888889,37.16419753
1765-05,20.2,26.1,34.7691358
1765-06,20,25.01111111,32.47654321
1765-07,27,24.1,30.44444444
1765-08,29.7,23.98888889,28.72098765
1765-09,16,24.4,27.37654321
1765-10,14,23.32222222,26.49382716
1765-11,14,22.21111111,25.67037037
1765-12,13,20.87777778,24.85185185
1766-01,12,19.54444444,24.11111111
1766-02,11,18.43333333,23.28395062
1766-03,36.6,17.41111111,22.43209877
1766-04,6,19.25555556,21.58765432
1766-05,26.8,16.92222222,21.04938272
1766-06,3,16.6,20.26419753
1766-07,3.3,15.15555556,19.39753086
1766-08,4,13.96666667,18.49012346
1766-09,4.3,12.85555556,17.57407407
1766-10,5,11.88888889,16.68271605
1766-11,5.7,11.11111111,15.83209877
1766-12,19.2,10.52222222,15.01851852
1767-01,27.4,8.588888889,14.25308642
1767-02,30,10.96666667,13.06790123
1767-03,43,11.32222222,12.40617284
1767-04,32.9,15.76666667,11.81975309
1767-05,29.8,19.05555556,11.88765432
1767-06,33.3,21.92222222,12.45308642
1767-07,21.9,25.14444444,13.46049383
1767-08,40.8,27.02222222,14.93333333
1767-09,42.7,30.92222222,16.70123457
1767-10,44.1,33.53333333,18.96790123
1767-11,54.7,35.38888889,21.73950617
1767-12,53.3,38.13333333,24.45308642
1768-01,53.5,39.27777778,27.43209877
1768-02,66.1,41.56666667,30.04444444
1768-03,46.3,45.6,32.54567901
1768-04,42.7,47.04444444,35.17654321
1768-05,77.7,49.35555556,37.60987654
1768-06,77.4,53.45555556,40.09135802
1768-07,52.6,57.31111111,42.59506173
1768-08,66.8,58.25555556,45.23703704
1768-09,74.8,59.6,47.77777778
1768-10,77.8,61.98888889,50.16296296
1768-11,90.6,64.68888889,52.68641975
1768-12,111.8,67.41111111,55.25555556
1769-01,73.9,74.68888889,57.67901235
1769-02,64.2,78.15555556,60.75061728
1769-03,64.3,76.65555556,63.95061728
1769-04,96.7,75.2,66.52839506
1769-05,73.6,80.1,68.51604938
1769-06,94.4,80.85555556,70.94320988
1769-07,118.6,83.03333333,73.30493827
1769-08,120.3,87.56666667,75.64320988
1769-09,148.8,90.86666667,78.18518519
1769-10,158.2,94.97777778,80.79135802
1769-11,148.1,104.3444444,83.04567901
1769-12,112,113.6666667,85.95555556
1770-01,104,118.9666667,90.06790123
1770-02,142.5,119.7777778,94.9308642
1770-03,80.1,127.4333333,99.33950617
1770-04,51,125.8444444,104.5148148
1770-05,70.1,118.3333333,109.2716049
1770-06,83.3,112.7555556,112.6901235
1770-07,109.8,105.4777778,115.1222222
1770-08,126.3,100.1,116.2888889
1770-09,104.4,97.67777778,115.817284
1770-10,103.6,96.83333333,114.0407407
1770-11,132.2,96.78888889,111.5814815
1770-12,102.3,95.64444444,109.0271605
1771-01,36,98.11111111,105.4950617
1771-02,46.2,96.44444444,102.4135802
1771-03,46.7,93.78888889,99.98148148
1771-04,64.9,89.72222222,97.87407407
1771-05,152.7,84.73333333,96.12345679
1771-06,119.5,87.66666667,94.41604938
1771-07,67.7,89.34444444,93.3037037
1771-08,58.5,85.35555556,92.47160494
1771-09,101.4,77.16666667,91.20123457
1771-10,90,77.06666667,89.14814815
1771-11,99.7,83.06666667,86.80987654
1771-12,95.7,89.01111111,85.32345679
1772-01,100.9,94.45555556,84.79259259
1772-02,90.8,98.45555556,85.31851852
1772-03,31.1,91.57777778,86.84320988
1772-04,92.2,81.75555556,87.27777778
1772-05,38,84.47777778,86.4345679
1772-06,57,82.2,86.33703704
1772-07,77.3,77.26666667,86.8962963
1772-08,56.2,75.85555556,86.91851852
1772-09,50.5,71.02222222,86.11728395
1772-10,78.6,66,84.11851852
1772-11,61.3,63.52222222,80.95679012
1772-12,64,60.24444444,77.07530864
1773-01,54.6,63.9,73.59382716
1773-02,29,59.72222222,71.60987654
1773-03,51.2,58.72222222,68.85925926
1773-04,32.9,58.07777778,66.25061728
1773-05,41.1,53.14444444,64.11851852
1773-06,28.4,51.46666667,61.59506173
1773-07,27.7,49.01111111,59.42222222
1773-08,12.7,43.35555556,57.5345679
1773-09,29.3,37.95555556,55.29382716
1773-10,26.3,34.1,52.81728395
1773-11,40.9,30.95555556,49.50617284
1773-12,43.2,32.27777778,46.30987654
1774-01,46.8,31.38888889,43.37160494
1774-02,65.4,32.93333333,40.40617284
1774-03,55.7,35.63333333,38.16049383
1774-04,43.8,38.66666667,36.40123457
1774-05,51.3,40.45555556,35.25185185
1774-06,28.5,44.74444444,34.92962963
1774-07,17.5,44.65555556,35.68395062
1774-08,6.6,43.67777778,36.85679012
1774-09,7.9,39.86666667,38.27037037
1774-10,14,35.94444444,39.11358025
1774-11,17.7,32.3,39.61975309
1774-12,12.2,27,39.54938272
1775-01,4.4,22.16666667,38.59012346
1775-02,0,17.78888889,36.75679012
1775-03,11.6,12.08888889,34.2382716
1775-04,11.2,10.21111111,30.60987654
1775-05,3.9,9.511111111,26.78271605
1775-06,12.3,9.211111111,22.98641975
1775-07,1,9.7,19.58024691
1775-08,7.9,8.255555556,16.66419753
1775-09,3.2,7.166666667,13.99259259
1775-10,5.6,6.166666667,11.78888889
1775-11,15.1,6.3,10.01111111
1775-12,7.9,7.977777778,8.734567901
1776-01,21.7,7.566666667,8.277777778
1776-02,11.6,8.733333333,7.983950617
1776-03,6.3,9.588888889,7.897530864
1776-04,21.8,8.922222222,7.939506173
1776-05,11.2,11.23333333,7.85308642
1776-06,19,11.6,8.183950617
1776-07,1,13.35555556,8.67654321
1776-08,24.2,12.84444444,9.475308642
1776-09,16,13.85555556,10.20246914
1776-10,30,14.75555556,10.85555556
1776-11,35,15.67777778,11.65432099
1776-12,40,18.27777778,12.42592593
1777-01,45,22.02222222,13.39135802
1777-02,36.5,24.6,14.84691358
1777-03,39,27.41111111,16.33209877
1777-04,95.5,29.63333333,18.08888889
1777-05,80.3,40.13333333,19.89753086
1777-06,80.7,46.36666667,22.92962963
1777-07,95,53.55555556,26.54197531
1777-08,112,60.77777778,30.85308642
1777-09,116.2,69.33333333,35.86419753
1777-10,106.5,77.8,41.53703704
1777-11,146,84.63333333,47.7345679
1777-12,157.3,96.8,54.40493827
1778-01,177.3,109.9444444,62.11481481
1778-02,109.3,119.0333333,71.0382716
1778-03,134,122.2555556,79.80493827
1778-04,145,128.1777778,88.23703704
1778-05,238.9,133.7333333,96.52839506
1778-06,171.6,147.8333333,104.6345679
1778-07,153,153.9888889,113.3567901
1778-08,140,159.1555556,121.8222222
1778-09,171.7,158.4888889,130.1024691
1778-10,156.3,160.0888889,136.9567901
1778-11,150.3,157.7555556,142.5283951
1778-12,105,162.3111111,146.8308642
1779-01,114.7,159.0888889,151.2814815
1779-02,165.7,155.7222222,154.7160494
1779-03,118,147.5888889,157.1592593
1779-04,145,141.6333333,157.1320988
1779-05,140,140.7444444,155.7592593
1779-06,113.7,140.7444444,153.7135802
1779-07,143,134.3,151.7419753
1779-08,112,132.8222222,148.8765432
1779-09,111,128.5666667,146.1061728
1779-10,124,129.2333333,142.3567901
1779-11,114,130.2666667,139.0395062
1779-12,110,124.5222222,136.2111111
1780-01,70,123.6333333,133.6481481
1780-02,98,115.3,131.6481481
1780-03,98,110.6333333,128.8209877
1780-04,95,108.8888889,125.4753086
1780-05,107.2,103.5555556,122.6518519
1780-06,88,103.0222222,119.4
1780-07,86,100.4666667,116.5617284
1780-08,86,96.24444444,113.3654321
1780-09,93.7,93.13333333,109.5851852
1780-10,77,91.32222222,106.0975309
1780-11,60,92.1,102.5074074
1780-12,58.7,87.87777778,99.92962963
1781-01,98.7,83.51111111,97.40123457
1781-02,74.7,83.92222222,94.58148148
1781-03,53,80.31111111,92.4
1781-04,68.3,76.42222222,89.87654321
1781-05,104.7,74.45555556,87.20493827
1781-06,97.7,76.53333333,84.78395062
1781-07,73.5,76.97777778,82.93950617
1781-08,66,76.58888889,81.34567901
1781-09,51,77.25555556,79.62222222
1781-10,27.3,76.4,78.44197531
1781-11,67,68.46666667,77.65185185
1781-12,35.2,67.61111111,75.9345679
1782-01,54,65.63333333,74.52345679
1782-02,37.5,64.04444444,73.32469136
1782-03,37,56.57777778,72.16790123
1782-04,41,49.83333333,69.95061728
1782-05,54.3,46.22222222,66.9345679
1782-06,38,44.92222222,63.56049383
1782-07,37,43.47777778,59.96790123
1782-08,44,44.55555556,56.30987654
1782-09,34,42,53.65308642
1782-10,23.2,41.86666667,50.80740741
1782-11,31.5,38.44444444,48.16666667
1782-12,30,37.77777778,45.32222222
1783-01,28,37,43.23333333
1783-02,38.7,35.55555556,41.80740741
1783-03,26.7,33.82222222,40.62222222
1783-04,28.3,32.56666667,39.38888889
1783-05,23,31.6,38.17654321
1783-06,25.2,29.26666667,36.73703704
1783-07,32.2,28.28888889,35.32222222
1783-08,20,29.28888889,33.81358025
1783-09,18,28.01111111,32.7962963
1783-10,8,26.67777778,31.71111111
1783-11,15,24.45555556,30.56419753
1783-12,10.5,21.82222222,29.3308642
1784-01,13,20.02222222,27.99753086
1784-02,8,18.32222222,26.6037037
1784-03,11,16.65555556,25.12839506
1784-04,10,15.07777778,23.72716049
1784-05,6,12.61111111,22.25925926
1784-06,9,11.05555556,20.40617284
1784-07,6,10.05555556,18.52222222
1784-08,10,9.833333333,16.67530864
1784-09,10,9.277777778,15.05061728
1784-10,8,9.222222222,13.65679012
1784-11,17,8.666666667,12.45679012
1784-12,14,9.666666667,11.38395062
1785-01,6.5,10,10.60740741
1785-02,8,9.611111111,10.04320988
1785-03,9,9.833333333,9.709876543
1785-04,15.7,9.833333333,9.574074074
1785-05,20.7,10.91111111,9.549382716
1785-06,26.3,12.1,9.669135802
1785-07,36.3,13.91111111,9.982716049
1785-08,20,17.05555556,10.5037037
1785-09,32,17.38888889,11.43580247
1785-10,47.2,19.38888889,12.29382716
1785-11,40.2,23.91111111,13.33703704
1785-12,27.3,27.48888889,14.92592593
1786-01,37.2,29.52222222,16.88765432
1786-02,47.6,31.91111111,19.07530864
1786-03,47.7,34.9,21.40864198
1786-04,85.4,37.27777778,23.94197531
1786-05,92.3,42.73333333,26.5382716
1786-06,59,50.76666667,29.39135802
1786-07,83,53.76666667,33.1
1786-08,89.7,57.74444444,36.91975309
1786-09,111.5,63.24444444,40.67901235
1786-10,112.3,72.6,44.65185185
1786-11,116,80.94444444,49.4382716
1786-12,112.7,88.54444444,54.88641975
1787-01,134.7,95.76666667,60.84691358
1787-02,106,101.2444444,67.34567901
1787-03,87.4,102.7666667,73.84691358
1787-04,127.2,105.9222222,79.62469136
1787-05,134.8,110.8333333,85.41975309
1787-06,99.2,115.8444444,91.31851852
1787-07,128,114.4777778,97.16296296
1787-08,137.2,116.2222222,101.8160494
1787-09,157.3,118.5777778,105.7358025
1787-10,157,123.5333333,109.0728395
1787-11,141.5,126.0111111,112.1580247
1787-12,174,129.9555556,114.9098765
1788-01,138,139.5777778,117.9308642
1788-02,129.2,140.7777778,121.6703704
1788-03,143.3,140.1555556,124.9975309
1788-04,108.5,145.0555556,127.6987654
1788-05,113,142.8888889,131.0962963
1788-06,154.2,140.2,134.0592593
1788-07,141.5,139.8555556,136.4617284
1788-08,136,138.1333333,138.2753086
1788-09,141,137.5222222,139.6222222
1788-10,142,133.8555556,140.462963
1788-11,94.7,134.3,139.8271605
1788-12,129.5,130.4666667,139.1074074
1789-01,114,128.9333333,138.0308642
1789-02,125.3,129.5444444,136.2395062
1789-03,120,130.9111111,134.7567901
1789-04,123.3,127.1111111,133.7246914
1789-05,123.5,125.0888889,132.308642
1789-06,120,123.7,130.8592593
1789-07,117,121.3666667,129.3234568
1789-08,103,118.5888889,127.9358025
1789-09,112,119.5111111,126.1901235
1789-10,89.7,117.5666667,124.9728395
1789-11,134,114.8666667,123.7098765
1789-12,135.5,115.8333333,122.0790123
1790-01,103,117.5555556,120.4037037
1790-02,127.5,115.3,119.3419753
1790-03,96.3,115.7444444,118.254321
1790-04,94,113.1111111,117.3703704
1790-05,93,110.5555556,116.4530864
1790-06,91,109.4444444,115.5604938
1790-07,69.3,107.1111111,114.4419753
1790-08,87,104.8444444,113.2802469
1790-09,77.3,99.62222222,112.1666667
1790-10,84.3,93.15555556,110.3654321
1790-11,82,91.07777778,107.654321
1790-12,74,86.02222222,104.962963
1791-01,72.7,83.54444444,101.6604938
1791-02,62,81.17777778,98.37530864
1791-03,74,77.73333333,95.11111111
1791-04,77.2,75.84444444,91.58765432
1791-05,73.7,76.72222222,88.11358025
1791-06,64.2,75.24444444,84.98888889
1791-07,71,73.78888889,82.28024691
1791-08,43,72.31111111,80.12839506
1791-09,66.5,67.97777778,78.04320988
1791-10,61.7,67.14444444,76.0382716
1791-11,67,65.92222222,74.21604938
1791-12,66,66.47777778,72.52098765
1792-01,58,65.58888889,71.27037037
1792-02,64,63.45555556,70.1308642
1792-03,63,62.37777778,68.65679012
1792-04,75.7,62.24444444,67.22716049
1792-05,62,62.76666667,65.94444444
1792-06,61,64.87777778,64.88395062
1792-07,45.8,64.26666667,64.53950617
1792-08,60,62.5,64.21975309
1792-09,59,61.72222222,63.83950617
1792-10,59,60.94444444,63.31111111
1792-11,57,61.05555556,62.79506173
1792-12,56,60.27777778,62.52839506
1793-01,56,59.5,62.29506173
1793-02,55,57.31111111,61.99012346
1793-03,55.5,56.53333333,61.38395062
1793-04,53,55.92222222,60.45679012
1793-05,52.3,56.72222222,59.52962963
1793-06,51,55.86666667,58.88765432
1793-07,50,54.97777778,58.23703704
1793-08,29.3,53.97777778,57.57407407
1793-09,24,50.9,56.78765432
1793-10,47,47.34444444,55.74567901
1793-11,44,46.34444444,54.39506173
1793-12,45.7,45.12222222,53.17654321
1794-01,45,44.03333333,51.90864198
1794-02,44,43.14444444,50.58765432
1794-03,38,42.22222222,49.07901235
1794-04,28.4,40.77777778,47.56296296
1794-05,55.7,38.37777778,45.98518519
1794-06,41.5,41.31111111,44.25185185
1794-07,41,43.25555556,43.18641975
1794-08,40,42.58888889,42.73209877
1794-09,11.1,42.14444444,42.31481481
1794-10,28.5,38.3,41.98395062
1794-11,67.4,36.46666667,41.34691358
1794-12,51.4,39.06666667,40.60493827
1795-01,21.4,40.55555556,40.25432099
1795-02,39.9,39.77777778,40.22962963
1795-03,12.6,38.02222222,40.38518519
1795-04,18.6,34.81111111,40.01975309
1795-05,31,32.32222222,39.08148148
1795-06,17.1,31.32222222,37.94074074
1795-07,12.9,31.98888889,36.7382716
1795-08,25.7,30.25555556,36.03703704
1795-09,13.5,25.62222222,35.34691358
1795-10,19.5,21.41111111,33.85308642
1795-11,25,21.2,31.72592593
1795-12,18,19.54444444,29.6617284
1796-01,22,20.14444444,27.60864198
1796-02,23.8,20.52222222,25.97901235
1796-03,15.7,19.72222222,24.66790123
1796-04,31.7,19.56666667,23.37901235
1796-05,21,21.65555556,21.99876543
1796-06,6.7,21.13333333,21.04320988
1796-07,26.9,20.37777778,20.54444444
1796-08,1.5,21.2,20.42962963
1796-09,18.4,18.58888889,20.42962963
1796-10,11,18.63333333,20.32345679
1796-11,8.4,17.41111111,20.15555556
1796-12,5.1,15.7,19.80987654
1797-01,14.4,14.52222222,19.36296296
1797-02,4.2,12.6,18.80246914
1797-03,4,10.73333333,17.7962963
1797-04,4,10.43333333,16.64074074
1797-05,7.3,7.888888889,15.53580247
1797-06,11.1,8.533333333,14.05679012
1797-07,4.3,7.722222222,12.93950617
1797-08,6,6.977777778,11.72716049
1797-09,5.7,6.711111111,10.56790123
1797-10,6.9,6.777777778,9.569135802
1797-11,5.8,5.944444444,8.708641975
1797-12,3,6.122222222,7.969135802
1798-01,2,6.011111111,7.456790123
1798-02,4,5.788888889,6.965432099
1798-03,12.4,5.422222222,6.732098765
1798-04,1.1,5.566666667,6.386419753
1798-05,0,5.211111111,6.14691358
1798-06,0,4.544444444,5.950617284
1798-07,0,3.911111111,5.709876543
1798-08,3,3.144444444,5.391358025
1798-09,2.4,2.833333333,5.080246914
1798-10,1.5,2.766666667,4.714814815
1798-11,12.5,2.711111111,4.354320988
1798-12,9.9,3.655555556,4.012345679
1799-01,1.6,3.377777778,3.816049383
1799-02,12.6,3.433333333,3.572839506
1799-03,21.7,4.833333333,3.375308642
1799-04,8.4,7.244444444,3.407407407
1799-05,8.2,8.177777778,3.777777778
1799-06,10.6,8.755555556,4.337037037
1799-07,2.1,9.666666667,4.995061728
1799-08,0,9.733333333,5.761728395
1799-09,0,8.344444444,6.541975309
1799-10,4.6,7.244444444,7.062962963
1799-11,2.7,7.577777778,7.492592593
1799-12,8.6,6.477777778,7.95308642
1800-01,6.9,5.022222222,8.135802469
1800-02,9.3,4.855555556,7.888888889
1800-03,13.9,4.977777778,7.519753086
1800-04,0,5.344444444,7.1
1800-05,5,5.111111111,6.619753086
1800-06,23.7,5.666666667,6.10617284
1800-07,21,8.3,5.808641975
1800-08,19.5,10.12222222,5.925925926
1800-09,11.5,11.98888889,6.208641975
1800-10,12.3,12.31111111,6.820987654
1800-11,10.5,12.91111111,7.630864198
1800-12,40.1,13.04444444,8.525925926
1801-01,27,15.95555556,9.422222222
1801-02,29,18.95555556,10.60123457
1801-03,30,21.62222222,12.13950617
1801-04,31,22.32222222,13.91234568
1801-05,32,23.43333333,15.47037037
1801-06,31.2,24.82222222,16.94938272
1801-07,35,27.01111111,18.37530864
1801-08,38.7,29.53333333,20.00864198
1801-09,33.5,32.66666667,21.85555556
1801-10,32.6,31.93333333,24.03580247
1801-11,39.8,32.55555556,25.81111111
1801-12,48.2,33.75555556,27.32222222
1802-01,47.8,35.77777778,28.67037037
1802-02,47,37.64444444,30.1654321
1802-03,40.8,39.31111111,31.74444444
1802-04,42,40.37777778,33.35432099
1802-05,44,41.15555556,34.83950617
1802-06,46,41.74444444,36.1308642
1802-07,48,43.13333333,37.13950617
1802-08,50,44.84444444,38.38395062
1802-09,51.8,45.97777778,39.74938272
1802-10,38.5,46.37777778,41.10740741
1802-11,34.5,45.34444444,42.28518519
1802-12,50,43.95555556,43.14074074
1803-01,50,44.97777778,43.65679012
1803-02,50.8,45.86666667,44.16790123
1803-03,29.5,46.62222222,44.69135802
1803-04,25,44.78888889,45.23333333
1803-05,44.3,42.23333333,45.41728395
1803-06,36,41.6,45.12716049
1803-07,48.3,39.84444444,44.64074074
1803-08,34.1,40.93333333,43.91481481
1803-09,45.3,40.88888889,43.42469136
1803-10,54.3,40.36666667,43.08395062
1803-11,51,40.84444444,42.57160494
1803-12,48,40.86666667,42.01358025
1804-01,45.3,42.92222222,41.37407407
1804-02,48.3,45.17777778,41.16666667
1804-03,48,45.62222222,41.49382716
1804-04,50.6,46.95555556,41.94074074
1804-05,33.4,47.21111111,42.7308642
1804-06,34.8,47.13333333,43.42839506
1804-07,29.8,45.96666667,44.12222222
1804-08,43.1,43.24444444,44.74444444
1804-09,53,42.36666667,45.01111111
1804-10,62.3,42.92222222,45.17777778
1804-11,61,44.81111111,45.17777778
1804-12,60,46.22222222,45.13703704
1805-01,61,47.55555556,45.2037037
1805-02,44.1,48.71111111,45.27037037
1805-03,51.4,49.9,45.43703704
1805-04,37.5,51.74444444,45.74444444
1805-05,39,52.6,46.38641975
1805-06,40.5,52.14444444,47.42592593
1805-07,37.6,50.75555556,48.51234568
1805-08,42.7,48.01111111,49.38271605
1805-09,44.4,45.97777778,49.7382716
1805-10,29.4,44.24444444,49.71111111
1805-11,41,40.73333333,49.34320988
1805-12,38.3,40.38888889,48.45679012
1806-01,39,38.93333333,47.4
1806-02,29.6,39.1,45.97654321
1806-03,32.7,38.05555556,44.47654321
1806-04,27.7,37.18888889,42.91111111
1806-05,26.4,36.08888889,41.4037037
1806-06,25.6,34.27777778,40.07901235
1806-07,30,32.18888889,38.77901235
1806-08,26.3,32.25555556,37.43950617
1806-09,24,30.62222222,36.49753086
1806-10,27,29.03333333,35.41234568
1806-11,25,27.7,34.31234568
1806-12,24,27.18888889,33.04567901
1807-01,12,26.22222222,31.8382716
1807-02,12.2,24.47777778,30.61975309
1807-03,9.6,22.9,29.32962963
